"code","category_text"
"0V0702","ADULT - EROTIC/ARTICLES WITH SEXUAL CONNOTATIONS/DISHWASHER"
"0V0704","ADULT - EROTIC/ARTICLES WITH SEXUAL CONNOTATIONS/FOOD"
"0V0703","ADULT - EROTIC/ARTICLES WITH SEXUAL CONNOTATIONS/FURNITURE"
"0V0705","ADULT - EROTIC/ARTICLES WITH SEXUAL CONNOTATIONS/SEXY DECORATIVE OBJECT"
"0V0701","ADULT - EROTIC/ARTICLES WITH SEXUAL CONNOTATIONS/SEXY PRANK AND CATCH"
"0V0402","ADULT - EROTIC/BOOK - STATIONERY X - EROTICA/CALENDAR X"
"0V0401","ADULT - EROTIC/BOOK - STATIONERY X - EROTICA/EROTIC BOOK - ADULT - X"
"0V0403","ADULT - EROTIC/BOOK - STATIONERY X - EROTICA/EROTIC MANGA - MANGA X"
"0V0203","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/GLOVE - MITAINE"
"0V020E","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/JACKET - SEXY JACKET"
"0V020H","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/KILT SEXY"
"0V0207","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/PAREO - SEXY LOINCLOTH"
"0V020D","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY BERMUDA"
"0V0201","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY BUSTIER"
"0V0202","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY CLOTHING SET"
"0V0208","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY DRESS"
"0V020G","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY JEWELRY"
"0V0206","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY PANTALON"
"0V0209","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY SALOPETTE"
"0V020I","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY SHIRT - SEXY BLOUSE"
"0V020F","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY SHOES"
"0V0205","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY SHORT PANTS"
"0V020A","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY SHORTS"
"0V0204","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY SKIRT"
"0V020C","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/SEXY TUNIC"
"0V020B","ADULT - EROTIC/CLUB WEAR - SEXY OUTFITS/T-SHIRT - SEXY TOP"
"0V0301","ADULT - EROTIC/FILM X - EROTIC FILM/BLU-RAY X"
"0V0303","ADULT - EROTIC/FILM X - EROTIC FILM/DVD X"
"0V0302","ADULT - EROTIC/FILM X - EROTIC FILM/UMD X"
"0V010O","ADULT - EROTIC/SEXTOYS/BAILLON - BALACLAVA"
"0V0106","ADULT - EROTIC/SEXTOYS/BREAST COVERS - BREAST CLAMPS"
"0V010H","ADULT - EROTIC/SEXTOYS/CLEANING - DISINFECTION FOR SEX TOYS"
"0V010P","ADULT - EROTIC/SEXTOYS/COLLAR - LEASH"
"0V010A","ADULT - EROTIC/SEXTOYS/DEVELOPER - PUMP"
"0V010C","ADULT - EROTIC/SEXTOYS/DILDO - RABIT - VIBRATOR"
"0V0104","ADULT - EROTIC/SEXTOYS/EDIBLE ITEMS"
"0V010D","ADULT - EROTIC/SEXTOYS/EROTIC GAME"
"0V010B","ADULT - EROTIC/SEXTOYS/GAINE DE PENIS"
"0V0105","ADULT - EROTIC/SEXTOYS/GEISHA BALL"
"0V010G","ADULT - EROTIC/SEXTOYS/HANDCUFFS - BONDAGE - RESTRAINT ROPE"
"0V010R","ADULT - EROTIC/SEXTOYS/INTIMATE JEWEL"
"0V010E","ADULT - EROTIC/SEXTOYS/MASK - HEADBAND"
"0V010K","ADULT - EROTIC/SEXTOYS/MASSAGE PRODUCT - MASSAGE CANDLE"
"0V010F","ADULT - EROTIC/SEXTOYS/MASTURBATOR FOR MEN"
"0V0108","ADULT - EROTIC/SEXTOYS/PLEASURE BOX"
"0V0103","ADULT - EROTIC/SEXTOYS/RING - COCKRING"
"0V010Q","ADULT - EROTIC/SEXTOYS/SADOMASOCHISTIC FURNITURE - CAGE - CROSS - CARCAN - FESSEE BENCH"
"0V0101","ADULT - EROTIC/SEXTOYS/SENSUAL ACCESSORIES"
"0V0109","ADULT - EROTIC/SEXTOYS/SENSUAL COSMETICS"
"0V010J","ADULT - EROTIC/SEXTOYS/SEX DOLL - INFLATABLE DOLL"
"0V010S","ADULT - EROTIC/SEXTOYS/SPREADER - SPECULUM"
"0V010L","ADULT - EROTIC/SEXTOYS/STIMULANT - (EXCLUDING CAPSULES AND DIETARY SUPPLEMENTS)"
"0V010M","ADULT - EROTIC/SEXTOYS/STIMULATOR - PLUG - ROSARY"
"0V010N","ADULT - EROTIC/SEXTOYS/URETH ROD"
"0V0107","ADULT - EROTIC/SEXTOYS/VIBRANT DUCK"
"0V010I","ADULT - EROTIC/SEXTOYS/VIBRANT EGG"
"0V0102","ADULT - EROTIC/SEXTOYS/WHIP - RIDING CROP - FAGGOT"
"0V0601","ADULT - EROTIC/SEXY LINGERIE/BODY SEXY"
"0V0603","ADULT - EROTIC/SEXY LINGERIE/BOXER SHORTS"
"0V0604","ADULT - EROTIC/SEXY LINGERIE/CARACO SEXY"
"0V060G","ADULT - EROTIC/SEXY LINGERIE/GARTER BELT - GUEPIERE SEXY"
"0V060B","ADULT - EROTIC/SEXY LINGERIE/GIRDLE - SEXY JUMPSUIT"
"0V060C","ADULT - EROTIC/SEXY LINGERIE/LEGWARMERS - SEXY LEGWARMERS"
"0V0607","ADULT - EROTIC/SEXY LINGERIE/LINGERIE COORDINATOR"
"0V060F","ADULT - EROTIC/SEXY LINGERIE/NUISETTE - SEXY NEGLIGEE"
"0V060A","ADULT - EROTIC/SEXY LINGERIE/PANTIES - SEXY BRIEFS"
"0V060H","ADULT - EROTIC/SEXY LINGERIE/PYJAMAS - SEXY NIGHTDRESS"
"0V060I","ADULT - EROTIC/SEXY LINGERIE/SEXY BRA"
"0V0602","ADULT - EROTIC/SEXY LINGERIE/SEXY BUSTIER - SEXY CORSET"
"0V0609","ADULT - EROTIC/SEXY LINGERIE/SEXY DISGUISE"
"0V060D","ADULT - EROTIC/SEXY LINGERIE/SEXY LEGGING"
"0V0605","ADULT - EROTIC/SEXY LINGERIE/SEXY NECKLACE"
"0V060E","ADULT - EROTIC/SEXY LINGERIE/SEXY SWIMSUIT"
"0V0606","ADULT - EROTIC/SEXY LINGERIE/STOCKINGS - SEXY STOCKINGS"
"0V060J","ADULT - EROTIC/SEXY LINGERIE/THONG - SEXY TANGA"
"0V0501","ADULT - EROTIC/VIDEO GAME X/VIDEO GAME X"
"1D0404","ANIMALRY/ATTACHMENT - SADDLERY/ANIMAL HARNESS"
"1D0407","ANIMALRY/ATTACHMENT - SADDLERY/BIT - MOUTHPIECE"
"1D0402","ANIMALRY/ATTACHMENT - SADDLERY/BRIDLE - NOSEBAND - CAVECON"
"1D040B","ANIMALRY/ATTACHMENT - SADDLERY/CLIP KIT - SADDLE KIT"
"1D040A","ANIMALRY/ATTACHMENT - SADDLERY/HORSE SADDLE"
"1D0405","ANIMALRY/ATTACHMENT - SADDLERY/LEASH - STRAP - COUPLING - STRAP SHEATH"
"1D0406","ANIMALRY/ATTACHMENT - SADDLERY/LONGE - LICOL"
"1D0408","ANIMALRY/ATTACHMENT - SADDLERY/MUSELIERE"
"1D0403","ANIMALRY/ATTACHMENT - SADDLERY/NECKLACE"
"1D0409","ANIMALRY/ATTACHMENT - SADDLERY/RENES"
"1D0401","ANIMALRY/ATTACHMENT - SADDLERY/SADDLE ACCESSORY"
"1D0C0C","ANIMALRY/CARE PRODUCTS - HYGIENE/BATH SOIL - BATH SAND"
"1D0C09","ANIMALRY/CARE PRODUCTS - HYGIENE/CARE PRODUCTS KIT - HYGIENE"
"1D0C0D","ANIMALRY/CARE PRODUCTS - HYGIENE/CLOG GREASE"
"1D0C03","ANIMALRY/CARE PRODUCTS - HYGIENE/FOOD SUPPLEMENT"
"1D0C02","ANIMALRY/CARE PRODUCTS - HYGIENE/NECKLACE - CONVALESCENCE NECKLACE"
"1D0C04","ANIMALRY/CARE PRODUCTS - HYGIENE/PANTY - DIAPER - INCONTINENCE - MENSTRUAL PROTECTION - HEAT"
"1D0C07","ANIMALRY/CARE PRODUCTS - HYGIENE/PERFUME - DEODORANT - DISINFECTANT"
"1D0C01","ANIMALRY/CARE PRODUCTS - HYGIENE/PEST CONTROL PIPETTE - PEST CONTROL COLLAR - PEST CONTROL SPRAY - TICK HOOK - PEST CONTROL SHAMPOO"
"1D0C06","ANIMALRY/CARE PRODUCTS - HYGIENE/PET CLEANING WIPE"
"1D0C08","ANIMALRY/CARE PRODUCTS - HYGIENE/PREVENTION OF MOTION SICKNESS"
"1D0C0A","ANIMALRY/CARE PRODUCTS - HYGIENE/SHAMPOO - CONDITIONER - MASK - CONDITIONER"
"1D0C0B","ANIMALRY/CARE PRODUCTS - HYGIENE/SPECIFIC CARE"
"1D0C05","ANIMALRY/CARE PRODUCTS - HYGIENE/WELLNESS DIFFUSER - SOOTHING SPRAY - ANTI-STRESS SPRAY - ANTI-NERVOUSNESS SPRAY"
"1D0F01","ANIMALRY/CLOTHING - ACCESSORIES/BANDANA - SCARF - TIE - SCARF - BOW TIE"
"1D0F02","ANIMALRY/CLOTHING - ACCESSORIES/BIJOU"
